Compound_CID,Name,Molecular_Weight,Polar_Area,Complexity,XLogP,Heavy_Atom_Count,H-Bond_Donor_Count,H-Bond_Acceptor_Count,Rotatable_Bond_Count
7095,Biphenyl,154.21,0.0,100.0,4.0,12,0,0,1
37175,Imazalil,297.2,27.1,291.0,3.8,19,0,2,6
2871,Coumaphos,362.8,86.1,499.0,4.5,22,0,6,6
17109,Chinomethionat,234.3,93.5,287.0,3.1,15,0,5,0
1732,4-Chloro-3-methylphenol,142.58,20.2,94.9,3.1,9,1,1,0
53597,Glufosinate-Ammonium,198.16,104.0,187.0,,12,3,5,3
28780,Benomyl,290.32,85.3,377.0,2.1,21,2,4,5
4793,Phosalone,367.8,105.0,418.0,4.4,21,0,6,7
15965,Picloram,241.5,76.2,216.0,2.2,13,2,4,1
15938,Paraquat dichloride,257.16,7.8,145.0,,16,0,2,1
62829,S-Bioallethrin,302.4,43.4,573.0,4.8,22,0,3,6
42586,Metalaxyl,279.33,55.8,335.0,1.6,20,0,4,6
7153,Mecoprop,214.64,46.5,208.0,3.1,14,1,3,3
7290,"3-Chloro-1,2-propanediol",110.54,40.5,32.0,-0.5,6,2,2,2
6442842,Bifenthrin,422.9,26.3,622.0,6.0,29,0,5,6
16682746,Bis(tributyltin) oxide,596.1,9.2,246.0,,27,0,1,20
13709,Methidathion,302.3,143.0,343.0,2.4,16,0,8,6
37517,Iprodione,330.16,69.7,448.0,3.1,21,1,3,2
8554,Dimethyl Phthalate,194.18,52.6,200.0,1.6,14,0,4,4
2730,Chlorpyrifos,350.6,72.7,303.0,5.3,18,0,5,6
8371,Chloranil,245.9,34.1,277.0,3.4,12,0,2,0
1982,Acephate,183.17,80.7,172.0,-0.8,10,1,4,3
2566,Carbofuran,221.25,47.6,277.0,2.3,16,1,3,2
4933,Propanil,218.08,29.1,186.0,3.1,13,1,1,2
47326,Fenpropathrin,349.4,59.3,553.0,5.7,26,0,4,6
2314,Bendiocarb,223.22,56.8,279.0,1.7,16,1,4,2
38479,Pendimethalin,281.31,104.0,349.0,5.2,20,1,5,4
3589,Heptachlor,373.3,0.0,467.0,4.3,17,0,0,0
4096,Methamidophos,141.13,77.6,95.7,-0.9,7,1,4,2
8606,Captan,300.6,62.7,340.0,2.4,16,0,3,1
11294,Malachite Green,364.9,6.3,516.0,,26,0,2,3
31070,Fenamiphos,303.36,72.9,314.0,3.2,19,1,5,7
83975,Tetramethrin,331.4,63.7,639.0,4.7,24,0,4,5
3224,Endosulfan,406.9,54.7,470.0,3.8,19,0,4,0
16682804,Fentin acetate,409.1,26.3,332.0,,23,0,2,5
2256,Atrazine,215.68,62.7,166.0,2.6,14,2,5,4
47445,Triflumuron,358.7,67.4,454.0,5.6,24,2,6,3
5987,Sulfamic Acid,97.1,88.8,92.6,-1.6,5,2,4,0
5859,Famphur,325.3,106.0,418.0,2.2,19,0,7,6
205586,Anabasine,162.23,24.9,136.0,1.0,12,1,2,1
8722,Ziram,305.8,72.7,54.3,,13,0,4,0
1493,"2,4-Dinitrophenol",184.11,112.0,220.0,1.7,13,1,5,0
54680676,Brodifacoum,523.4,46.5,791.0,7.6,35,1,3,3
16682924,Phenylmercuric Nitrate,339.7,55.1,130.0,,11,0,3,2
73282,Triasulfuron,401.8,141.0,560.0,2.3,26,2,8,7
31677,Butachlor,311.8,29.5,287.0,4.5,21,0,2,9
47938,Fenoxaprop-ethyl,361.8,70.8,443.0,4.1,25,0,6,7
16204922,Warfarin Sodium,330.3,66.4,507.0,,24,0,4,4
29393,Oryzalin,346.36,163.0,493.0,2.1,23,1,8,6
15787,Nitrofen,284.09,55.1,290.0,4.3,18,0,3,2
299,Chlordecone,490.6,17.1,631.0,3.9,21,0,1,0
50897,Fluazifop-butyl,383.4,57.7,453.0,4.5,27,0,8,9
71777,Lufenuron,511.1,67.4,677.0,6.4,32,2,11,5
5569,Trifluralin,335.28,94.9,392.0,5.3,23,0,8,5
3030,Dicamba,221.03,46.5,198.0,2.2,13,1,3,2
16653,Molinate,187.3,45.6,141.0,3.2,12,0,2,2
4790,Phorate,260.399,101.0,156.0,3.6,13,0,5,8
91727,Flutriafol,301.29,50.9,365.0,2.3,22,1,5,4
13263,Ametryn,227.33,88.0,178.0,3.0,15,2,6,5
22206,Terbuthylazine,229.71,62.7,193.0,3.1,15,2,5,4
2078,Alachlor,269.77,29.5,248.0,3.5,18,0,2,6
9502,Linuron,249.09,41.6,228.0,3.2,15,1,2,2
39676,Vinclozolin,286.11,46.6,391.0,3.1,18,0,3,2
91744,Dimethenamid,275.8,57.8,265.0,2.6,17,0,3,5
34526,Pirimiphos-methyl,305.34,88.8,310.0,4.2,19,0,7,7
30479,Metribuzin,214.29,96.4,316.0,1.7,14,1,5,2
16682730,Phenylmercuric Acetate,336.74,26.3,130.0,,11,0,2,3
19402,Chlorophacinone,374.8,51.2,562.0,4.3,27,0,3,4
3032581,Maneb,265.3,90.2,108.0,,11,2,4,3
4618,Oxydemeton-methyl,246.3,97.1,201.0,-0.7,13,0,6,7
16421,Ethyl p-nitrophenyl benzenethiophosphonate,323.31,96.4,387.0,4.4,21,0,5,5
21307,Carboxin,235.3,63.6,295.0,2.1,16,1,3,2
2328,Bentazon,240.28,74.9,385.0,2.8,16,1,4,1
8607,Folpet,296.6,62.7,307.0,2.8,16,0,3,1
38779,Profenofos,373.63,60.8,295.0,4.7,18,0,4,7
54740,Imazethapyr,289.33,91.7,475.0,2.0,21,2,5,4
5543,Triallate,304.7,45.6,267.0,4.4,16,0,2,5
17435,Phenthoate,320.4,102.0,324.0,3.7,19,0,6,8
3120,Diuron,233.09,32.299,211.0,2.7,14,1,1,1
105010,Methoxyfenozide,368.5,58.6,518.0,4.6,27,1,3,4
16684434,Thimerosal,404.82,65.4,180.0,,14,0,3,3
4931,Propachlor,211.69,20.3,188.0,2.2,14,0,1,3
7280,"1,2-Dibromo-3-Chloropropane",236.33,0.0,32.0,2.4,6,0,0,2
14994,Dinoterb,240.21,112.0,314.0,3.4,17,1,5,1
12358480,Endrin,380.9,12.5,516.0,3.7,19,0,1,0
3032791,Thiophanate-Methyl,342.4,165.0,407.0,2.6,22,4,6,4
5355863,cis-Mevinphos,224.15,71.1,263.0,1.2,14,0,6,6
24744,Phenmedipham,300.31,76.7,388.0,3.6,22,2,4,5
30773,Cyanazine,240.69,86.5,272.0,2.2,16,2,6,4
51605,Fenoxycarb,301.34,56.8,310.0,4.3,22,1,4,8
54680085,Bromadiolone,527.4,66.8,743.0,6.1,35,2,4,6
32872,Isofenphos,345.4,88.9,403.0,4.1,22,1,6,9
5237,Fluoroacetic acid,78.04,37.3,42.9,0.2,5,1,3,1
1480,Trichlorophenoxyacetic acid,255.5,46.5,212.0,3.3,14,1,3,3
1988,Acetochlor,269.77,29.5,260.0,3.2,18,0,2,6
62276,Lactofen,461.8,108.0,657.0,4.1,31,0,10,8
13676,Fonofos,246.3,66.6,202.0,3.9,14,0,3,5
91741,Hexaflumuron,461.1,67.4,581.0,5.7,29,2,9,5
31645,Pirimicarb,238.29,58.6,270.0,1.7,17,0,5,3
21954,Maleic Hydrazide,112.09,58.2,143.0,-0.8,8,2,2,0
39965,Hexazinone,252.31,56.2,386.0,1.3,18,0,2,2
61021,Metaldehyde,176.21,36.9,91.0,1.1,12,0,4,0
24482,Ammonium sulfamate,114.13,92.6,79.2,,6,2,4,0
43226,Fenarimol,331.2,46.0,357.0,3.6,22,1,3,3
4929,Prometryn,241.36,88.0,182.0,3.5,16,2,6,5
53518,Quizalofop-ethyl,372.8,70.5,459.0,4.3,26,0,6,7
736366,Alpha-Naphthylthiourea,202.28,70.1,217.0,1.7,14,2,1,1
40813,Pyrinuron,272.26,99.8,337.0,1.2,20,2,4,3
10107,Chlorfenvinphos,359.6,44.8,368.0,3.1,20,0,4,7
13450,Terbutryn,241.36,88.0,206.0,3.7,16,2,6,5
33775,Norflurazon,303.67,44.7,461.0,2.3,20,1,6,2
52997,Sulfometuron-methyl,364.4,136.0,581.0,1.9,25,2,7,5
234,Arsenic Acid,141.943,77.8,49.8,,5,3,4,0
6794,Diquat Dibromide,344.04,7.8,182.0,,16,0,2,0
5366415,Metam-sodium,129.18,45.1,46.8,,6,1,2,0
23676704,"2,4-D-sodium",243.02,49.4,191.0,,14,0,3,3
91739,Quinclorac,242.05,50.2,262.0,3.0,15,1,3,1
41368,Triadimenol,295.76,60.2,303.0,3.1,20,1,4,5
43079,Fluridone,329.3,20.3,543.0,3.2,24,0,5,2
50516,Fluvalinate,502.9,71.4,735.0,7.7,35,1,8,9
7207,"Butanoic acid, 4-(4-chloro-2-methylphenoxy)-",228.67,46.5,208.0,3.6,15,1,3,5
4937,Propazine,229.71,62.7,169.0,2.9,15,2,5,4
54738,Imazapyr,261.279,91.7,433.0,1.2,19,2,5,3
47491,Chlorsulfuron,357.77,132.0,514.0,2.3,23,2,7,4
8594,Naptalam,291.3,66.4,423.0,3.5,22,2,3,3
9411,Bromacil,261.12,49.4,312.0,2.1,14,1,2,2
23017,"3,5,6-Trichloro-2-pyridinol",198.43,29.1,243.0,3.2,10,1,1,0
24722,Demeton,516.7,171.0,336.0,,28,0,10,18
16247,Aminocarb,208.26,41.6,219.0,1.9,15,1,3,3
7511,Phenylmercuric Chloride,313.15,0.0,59.5,,8,0,0,0
2728,Chlorpropham,213.66,38.3,197.0,3.5,14,1,2,3
30709,Leptophos,412.1,50.6,368.0,6.3,20,0,3,4
44072,Acifluorfen sodium,383.64,95.2,479.0,,25,0,8,2
7204,(4-chloro-2-Methylphenoxy)acetic acid,200.62,46.5,184.0,2.6,13,1,3,3
91677,Flurochloridone,312.11,20.3,350.0,3.4,19,0,4,2
8442,Sulfoxide,324.5,54.7,334.0,4.8,22,0,4,10
17517,Isoprocarb,193.24,38.3,192.0,2.3,14,1,2,3
86222,Carfentrazone-ethyl,412.2,62.2,582.0,4.0,26,0,7,7
7862,Ethylmercury Chloride,265.1,0.0,10.0,,4,0,0,0
24833,Thallous sulfate,504.83,88.6,62.2,,7,0,4,0
13814,Norbormide,511.6,92.2,1040.0,3.1,39,2,5,5
6436604,Uniconazole,291.77,50.9,346.0,3.6,20,1,3,4
27375,Chlortoluron,212.67,32.299,208.0,2.4,14,1,1,1
8293,Cythioate,297.3,128.0,377.0,1.6,17,1,7,5
90479,Isocarbophos,289.29,103.0,337.0,2.4,18,1,6,6
38078,Roundup,228.18,133.0,173.0,,14,5,7,4
8947,Disodium methylarsonate,183.934,63.2,49.8,,7,0,3,0
24883,"1,3-Dichloropropene",110.97,0.0,31.9,1.7,5,0,0,1
54682651,(+-)-Coumachlor,342.8,63.6,533.0,3.3,24,1,4,4
16682936,(Acetato-kappaO)(2-methoxyethyl)mercury,318.72,35.5,84.3,,9,0,3,4
33360,Ethofumesate,286.35,70.2,411.0,2.7,19,0,5,4
91683,Nuarimol,314.7,46.0,359.0,2.2,22,1,4,3
6265,Dimethrin,286.4,26.3,417.0,6.2,21,0,2,5
5281045,Pyrethrin I,328.4,43.4,642.0,5.4,24,0,3,7
17345,Formothion,257.3,113.0,252.0,1.5,14,0,6,5
6440557,lambda-Cyhalothrin,449.8,59.3,736.0,6.1,31,0,7,7
5377784,cis-Chlorfenvinphos,359.6,44.8,368.0,3.1,20,0,4,7
123622,Imiprothrin,318.4,66.9,622.0,2.1,23,0,4,6
23664719,Monosodium methanearsonate,161.952,60.4,71.2,,6,1,3,0
3032604,cis-Phosphamidon,299.69,65.099,359.0,1.3,18,0,5,7
2086,Aldicarb [ISO],190.27,76.0,180.0,1.1,12,1,4,4
688020,N-Ethyl-o-crotonotoluidide,203.28,20.3,235.0,2.8,15,0,1,3
14992,Niclosamide ethanolamine salt,388.2,141.0,414.0,,25,4,6,3
9570290,"3,5-Dioxa-6-aza-4-phosphaoct-6-ene-8-nitrile, 4-ethoxy-7-phenyl-, 4-sulfide",298.3,95.9,389.0,4.4,19,0,6,7
16212360,Sodium Fluoroacetate,100.02,40.1,46.8,,6,0,3,1
30332,Aluminium phosphide (AlP),57.955,0.0,10.0,,2,0,0,0
9037,Schradan,286.25,56.3,288.0,-0.3,17,0,7,6
40463,cis-Permethrin,391.3,35.5,521.0,6.5,26,0,3,7
22544,Chlordimeform,196.67,15.6,180.0,2.9,13,0,1,2
23675735,SODIUM o-PHENYLPHENOL,192.19,23.1,154.0,,14,0,1,1
173636,Imazalil sulfate,395.3,110.0,372.0,,24,2,6,6
48132,Tralomethrin,665.0,59.3,665.0,8.0,30,0,4,7
47275,Sodium arsenate,207.889,86.3,36.8,,8,0,4,0
13745,"Phosphoric acid, 2-chloro-1-(2,4,5-trichlorophenyl)ethenyl dimethyl ester",366.0,44.8,371.0,3.5,19,0,4,5
16760159,"cis-N-(1,1,2,2-Tetrachloroethylthio)-4-cyclohexene-1,2-dicarboximide",349.1,62.7,387.0,3.8,18,0,3,3
6327054,Tricyclohexylzinnhydroxid [German],386.2,1.0,207.0,,20,1,1,3
23690432,Monopotassium methyldithiocarbamate,145.29,45.1,46.8,,6,1,2,0
5281875,Matox,494.5,48.8,763.0,6.4,35,2,8,6
24692,Metasystox,460.6,171.0,291.0,,24,0,10,14
16696,Ethylmercuric phosphate,326.64,80.6,52.5,,8,2,4,0
7842,Propargyl bromide,118.96,0.0,38.5,1.1,4,0,0,0
12940701,Kadethrin,396.5,81.8,635.0,5.4,28,0,5,7
42163,Triclopyr triethylamine,357.7,62.7,242.0,,21,1,5,6
5353758,(E)-Methomyl,162.21,76.0,147.0,0.6,10,1,4,3
23675729,MCPB-sodium,250.65,49.4,213.0,,16,0,3,5
2982,"Cyclopropanecarboxylic acid, 3-(2,2-dibromoethenyl)-2,2-dimethyl-, cyano(3-phenoxyphenyl)methyl ester, (1R-(1alpha(S*),3alpha))-",505.2,59.3,643.0,6.2,28,0,4,7
22833503,Emamectin benzoate [ISO],1008.2,207.0,1850.0,,72,3,15,9
94497,Cyperquat chloride,205.68,3.9,141.0,,14,0,1,1
23664718,Picloram-potassium,279.5,79.0,221.0,,14,1,4,1
13124860,Bentazone-sodium,262.26,63.8,391.0,,17,0,4,1
10598,N-(ethylmercury)-p-toluenesulphonanilide,476.0,45.8,379.0,,20,0,3,4
65417,Carbendazim phosphate,289.18,145.0,272.0,,19,5,7,2
7627,"Mercurate(2-), (orthoborato(3-)-O)phenyl-, dihydrogen",338.52,63.5,56.9,,11,2,3,0
76968699,"Phosphonic acid, (7-chlorobicyclo(3.2.0)hepta-3,6-dien-6-yloxy)-, dimethyl ester",250.61,44.8,368.0,1.3,15,0,4,4
93465,"Imazaquin, monoammonium salt",328.4,92.7,545.0,,24,3,6,3
61617,Sodium diarsenate,353.8,136.0,124.0,,13,0,7,0
3034287,Nitenpyram,270.71,74.0,306.0,2.4,18,1,5,5
4004,Malathion,330.4,128.0,341.0,2.4,19,0,8,11
4477,Niclosamide,327.12,95.2,404.0,4.0,21,2,4,2
3347,Fenvalerate,419.9,59.3,586.0,6.2,30,0,4,8
13138,Tributylphosphine oxide,218.32,17.1,137.0,3.1,14,0,1,9
3352,Fipronil,437.1,104.0,599.0,4.5,26,1,11,2
24404,Phosphine,33.998,0.0,0.0,-0.1,1,0,0,0
5281303,Azadirachtin,720.7,215.0,1660.0,-0.6,51,3,16,10
6184,Hexanal,100.16,17.1,41.4,1.8,7,0,1,4
91778,Chlorfenapyr,407.61,38.0,448.0,4.5,23,0,5,4
91773,Tebufenozide,352.5,49.4,479.0,3.9,26,1,2,4
86173,Difenoconazole,406.3,58.4,495.0,4.0,27,0,5,5
86102,Tebuconazole,307.82,50.9,326.0,3.7,21,1,3,6
3034285,Azoxystrobin,403.4,104.0,646.0,3.7,30,0,8,8
5284462,Tetrachlorvinphos,366.0,44.8,371.0,3.5,19,0,4,5
4109,Methomyl,162.21,76.0,147.0,0.6,10,1,4,3
2181,(+-)-Anabasine,162.23,24.9,136.0,1.0,12,1,2,1
2758,"1,8-Cineole",154.25,9.2,164.0,2.5,11,0,1,0
86287519,Clothianidin,249.68,123.0,258.0,1.3,15,2,5,4
16315,Diallyl Trisulfide,178.3,75.9,70.4,2.6,9,0,3,6
11271640,Chlorantraniliprole,483.1,88.9,586.0,4.8,28,2,4,4
6422843,Pyraclostrobin,387.8,65.8,476.0,4.1,27,0,5,7
3035,"P,P'-dde",318.0,0.0,269.0,7.0,18,0,0,2
5993,"Chlordane, technical",409.8,0.0,459.0,4.9,18,0,0,0
9920327,Abamectin,1732.1,340.0,3430.0,,123,6,28,15
115224,"(3-((6-Chloropyridin-3-yl)methyl)-1,3-thiazolidin-2-ylidene)cyanamide",252.72,77.6,324.0,2.2,16,0,4,2
6321424,Ivermectin B1a,875.1,170.0,1680.0,4.1,62,3,14,8
5284469,Toxaphene,411.8,0.0,403.0,4.7,18,0,0,2
8268,Dicofol,370.5,20.2,292.0,4.3,20,1,1,2
8441,Dimethyl terephthalate,194.18,52.6,192.0,2.2,14,0,4,4
213021,N-((6-Chloro-3-pyridinyl)methyl)-N'-cyano-N-methylethanimidamide,222.67,52.3,280.0,1.4,15,0,3,3
6795,Diquat,184.24,7.8,182.0,1.4,14,0,0,0
153974,Etoxazole,359.4,30.8,495.0,5.4,26,0,5,5
91693,Penconazole,284.18,30.7,252.0,4.4,18,0,2,5
11048796,Fluoxastrobin,458.8,96.7,672.0,5.1,32,0,10,7
412,3-(Pyrrolidin-2-yl)pyridine,148.2,24.9,125.0,0.2,11,1,2,1
9832750,Doramectin,899.1,170.0,1790.0,4.5,64,3,14,7
17038,Captafol,349.1,62.7,387.0,3.8,18,0,3,3
24726,"(E)-1,3-Dichloropropene",110.97,0.0,31.9,1.7,5,0,0,1
5281555,Pyrethrin II,372.5,69.7,751.0,4.4,27,0,5,9
3034368,Mancozeb,541.1,180.0,108.0,,22,4,8,6
11957587,"(1R,4S,5'S,6R,6'R,8R,10E,12S,13S,14E,16E,20R,21R,24S)-6'-[(2R)-Butan-2-yl]-21,24-dihydroxy-12-[(2R,4S,5S,6S)-5-[(2S,4S,5S,6S)-5-hydroxy-4-methoxy-6-methyloxan-2-yl]oxy-4-methoxy-6-methyloxan-2-yl]oxy-5',11,13,22-tetramethylspiro[3,7,19-trioxatetracyclo[15.6.1.14,8.020,24]pentacosa-10,14,16,22-tetraene-6,2'-oxane]-2-one",875.1,170.0,1680.0,4.1,62,3,14,8
91753,Pyriproxyfen,321.4,40.6,338.0,4.8,24,0,4,7
86132,Cyproconazole,291.77,50.9,331.0,2.9,20,1,3,5
11664966,Trifloxystrobin,408.4,69.5,607.0,4.9,29,0,9,8
11193251,Flubendiamide,682.4,101.0,968.0,5.3,38,2,11,7
15415,Malaoxon,314.29,113.0,339.0,0.6,19,0,8,11
15939,Paraquat,186.25,7.8,145.0,1.7,14,0,0,1
5821911,Thiamethoxam,291.72,115.0,352.0,1.5,18,0,6,2
91656,Bitertanol,337.4,60.2,398.0,4.2,25,1,4,6
93365,Fenpropimorph,303.5,12.5,317.0,5.2,22,0,2,5
6901,Hexachlorobutadiene,260.8,0.0,160.0,4.8,10,0,0,1
86137,Imazamox,305.33,101.0,491.0,0.9,22,2,6,5
38283,Cyphenothrin,375.5,59.3,633.0,5.8,28,0,4,7
65067,"2,2':5',2''-Terthiophene",248.4,84.7,197.0,4.4,15,0,3,2
4794,Glufosinate,181.13,101.0,193.0,-5.0,11,3,5,4
91694,Fenpropidin,273.5,3.2,264.0,5.5,20,0,1,5
9839306,Prallethrin,300.4,43.4,620.0,4.3,22,0,3,5
11855,Pentachlorobenzene,250.3,0.0,125.0,5.2,11,0,0,0
162381,Bioresmethrin,338.4,39.4,497.0,6.1,25,0,3,7
22851,Dinoseb ammonium salt,257.24,116.0,298.0,,18,1,5,2
93357,Alpha-Cypermethrin,416.3,59.3,643.0,6.0,28,0,4,7
15559699,Heptachlor Epoxide,389.3,12.5,504.0,3.7,18,0,1,0
5377791,alpha-Chlorfenvinphos,359.6,44.8,368.0,3.1,20,0,4,7
92425,Flumioxazin,354.3,66.9,724.0,1.8,26,0,5,2
44073,Acifluorfen,361.65,92.4,484.0,3.0,24,1,8,3
12679,Hexamethylphosphoramide,179.2,26.8,139.0,0.3,11,0,4,3
36679,Isoproturon,206.28,32.299,206.0,2.9,15,1,1,2
12309460,alpha-Endosulfan,406.9,54.7,470.0,3.8,19,0,4,0
114994,Halofenozide,330.8,49.4,419.0,3.0,23,1,2,3
9570071,Aldicarb,190.27,76.0,180.0,1.1,12,1,4,4
213032,Famoxadone,374.4,67.9,563.0,5.0,28,1,5,5
80277,Tetraconazole,372.14,39.9,381.0,4.4,23,0,7,7
11285653,Picoxystrobin,367.3,57.7,495.0,3.6,26,0,8,7
26124,Quinalphos,298.3,85.6,322.0,4.4,19,0,6,6
11488729,Pyridalyl,491.1,40.6,511.0,7.1,29,0,7,9
9834513,Flonicamid,229.16,65.8,307.0,0.8,16,1,6,2
91770,Imazapic,275.3,91.7,461.0,1.6,20,2,5,3
6427057,"(1R,4S,6R,10E,14E,16E,21R)-6'-butan-2-yl-21,24-dihydroxy-12-[(2R,4S,6S)-5-[(2S,4S,6S)-5-hydroxy-4-methoxy-6-methyloxan-2-yl]oxy-4-methoxy-6-methyloxan-2-yl]oxy-5',11,13,22-tetramethylspiro[3,7,19-trioxatetracyclo[15.6.1.14,8.020,24]pentacosa-10,14,16,22-tetraene-6,2'-oxane]-2-one",875.1,170.0,1680.0,4.1,62,3,14,8
42574,Closantel,663.1,73.1,652.0,7.2,30,2,3,4
91758,Fosthiazate,283.4,97.2,300.0,2.0,16,0,5,6
50465,Fluroxypyr,255.03,85.4,246.0,1.8,15,2,6,3
71245,Etofenprox,376.5,27.7,422.0,7.0,28,0,3,9
8490,Cyclonite,222.12,147.0,229.0,1.6,15,0,9,0
53297381,Benthiavalicarb isopropyl,381.5,109.0,506.0,3.9,26,2,6,7
10403199,Fenamidone,311.4,70.0,441.0,4.1,22,1,4,4
9492,"2,5-Dinitrophenol",184.11,112.0,220.0,1.8,13,1,5,0
8948,Methylarsonic acid,139.97,57.5,61.3,,5,2,3,0
4921319,Picramic Acid,199.12,138.0,247.0,0.9,14,2,6,0
